raceId,year,round,date,race_name,constructorId,constructorRef,team,team_points,best_finish,win,podium,best_grid_position,pole_position
1070,2021,18,2021-11-07,Mexico City Grand Prix,210,haas,Haas F1 Team,0.0,18,0,0,18,0
1070,2021,18,2021-11-07,Mexico City Grand Prix,1,mclaren,McLaren,1.0,10,0,0,7,0
1070,2021,18,2021-11-07,Mexico City Grand Prix,131,mercedes,Mercedes,18.0,2,0,1,1,1
1070,2021,18,2021-11-07,Mexico City Grand Prix,9,red_bull,Red Bull,40.0,1,1,1,3,0
1070,2021,18,2021-11-07,Mexico City Grand Prix,3,williams,Williams,0.0,16,0,0,13,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,51,alfa,Alfa Romeo,0.0,12,0,0,14,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,213,alphatauri,AlphaTauri,6.0,7,0,0,5,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,214,alpine,Alpine F1 Team,6.0,8,0,0,10,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,117,aston_martin,Aston Martin,0.0,11,0,0,12,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,6,ferrari,Ferrari,19.0,5,0,0,6,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,210,haas,Haas F1 Team,0.0,17,0,0,19,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,1,mclaren,McLaren,1.0,10,0,0,8,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,131,mercedes,Mercedes,43.0,1,1,1,1,1
1071,2021,19,2021-11-14,São Paulo Grand Prix,9,red_bull,Red Bull,33.0,2,0,1,2,0
1071,2021,19,2021-11-14,São Paulo Grand Prix,3,williams,Williams,0.0,13,0,0,17,0
1051,2021,20,2021-11-21,Qatar Grand Prix,51,alfa,Alfa Romeo,0.0,14,0,0,16,0
1051,2021,20,2021-11-21,Qatar Grand Prix,213,alphatauri,AlphaTauri,0.0,11,0,0,4,0
1051,2021,20,2021-11-21,Qatar Grand Prix,214,alpine,Alpine F1 Team,25.0,3,0,1,5,0
1051,2021,20,2021-11-21,Qatar Grand Prix,117,aston_martin,Aston Martin,9.0,6,0,0,10,0
1051,2021,20,2021-11-21,Qatar Grand Prix,6,ferrari,Ferrari,10.0,7,0,0,7,0
1051,2021,20,2021-11-21,Qatar Grand Prix,210,haas,Haas F1 Team,0.0,16,0,0,19,0
1051,2021,20,2021-11-21,Qatar Grand Prix,1,mclaren,McLaren,2.0,9,0,0,6,0
1051,2021,20,2021-11-21,Qatar Grand Prix,131,mercedes,Mercedes,25.0,1,1,1,1,1
1051,2021,20,2021-11-21,Qatar Grand Prix,9,red_bull,Red Bull,31.0,2,0,1,2,0
1051,2021,20,2021-11-21,Qatar Grand Prix,3,williams,Williams,0.0,17,0,0,15,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,51,alfa,Alfa Romeo,2.0,9,0,0,10,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,213,alphatauri,AlphaTauri,8.0,6,0,0,6,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,214,alpine,Alpine F1 Team,12.0,4,0,0,9,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,117,aston_martin,Aston Martin,0.0,11,0,0,17,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,6,ferrari,Ferrari,10.0,7,0,0,4,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,210,haas,Haas F1 Team,0.0,18,0,0,19,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,1,mclaren,McLaren,11.0,5,0,0,7,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,131,mercedes,Mercedes,41.0,1,1,1,1,1
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,9,red_bull,Red Bull,18.0,2,0,1,3,0
1072,2021,21,2021-12-05,Saudi Arabian Grand Prix,3,williams,Williams,0.0,12,0,0,14,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,51,alfa,Alfa Romeo,0.0,17,0,0,14,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,213,alphatauri,AlphaTauri,22.0,4,0,0,8,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,214,alpine,Alpine F1 Team,6.0,8,0,0,9,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,117,aston_martin,Aston Martin,0.0,11,0,0,13,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,6,ferrari,Ferrari,16.0,3,0,1,5,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,210,haas,Haas F1 Team,0.0,14,0,0,19,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,1,mclaren,McLaren,6.0,7,0,0,3,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,131,mercedes,Mercedes,26.0,2,0,1,2,0
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,9,red_bull,Red Bull,26.0,1,1,1,1,1
1073,2021,22,2021-12-12,Abu Dhabi Grand Prix,3,williams,Williams,0.0,16,0,0,16,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,51,alfa,Alfa Romeo,9.0,6,0,0,6,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,213,alphatauri,AlphaTauri,4.0,8,0,0,10,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,214,alpine,Alpine F1 Team,8.0,7,0,0,8,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,117,aston_martin,Aston Martin,0.0,12,0,0,17,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,6,ferrari,Ferrari,44.0,1,1,1,1,1
1074,2022,1,2022-03-20,Bahrain Grand Prix,210,haas,Haas F1 Team,10.0,5,0,0,7,0
